Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-22,157.09,159.27,156.66,157.48,436505,0.39,2.61,0.25,1.66,1.31,1
2023-08-21,158.26,159.8,155.85,156.67,251534,-1.59,3.95,-1.01,2.52,1.97,-1
2023-08-18,153.7,158.28,153.57,157.59,406638,3.89,4.71,2.47,2.99,2.35,1
2023-08-17,156.63,158.0,154.94,155.01,343952,-1.62,3.06,-1.05,1.97,1.53,1
2023-08-16,153.24,155.12,152.38,154.22,384868,0.98,2.74,0.64,1.78,1.37,1
2023-08-15,153.94,154.81,151.12,152.8,505894,-1.14,3.69,-0.75,2.41,1.84,-1
2023-08-14,156.51,156.51,154.44,155.33,262179,-1.18,2.07,-0.76,1.33,1.03,-1
2023-08-11,156.54,158.48,156.29,158.44,446952,1.9,2.19,1.2,1.38,1.09,1
2023-08-10,159.21,159.69,155.15,156.96,608420,-2.25,4.54,-1.43,2.89,2.27,-1
2023-08-09,162.97,163.45,159.01,159.29,706025,-3.68,4.44,-2.31,2.79,2.22,-1
2023-08-08,157.6,162.5,156.96,161.91,334217,4.31,5.53,2.66,3.42,2.77,1
2023-08-07,160.0,160.97,157.38,160.71,371803,0.71,3.59,0.44,2.23,1.8,1
2023-08-04,156.51,160.05,155.94,158.85,705461,2.34,4.11,1.47,2.59,2.06,1
2023-08-03,156.88,157.86,151.12,156.23,936557,-0.65,6.74,-0.42,4.31,3.37,1
2023-08-02,156.5,157.0,153.48,154.17,503530,-2.33,3.52,-1.51,2.28,1.76,-1
2023-08-01,155.46,157.56,153.8,157.43,344774,1.97,3.76,1.25,2.39,1.88,1
2023-07-31,157.22,157.81,156.17,156.84,344379,-0.38,1.64,-0.24,1.04,0.82,1
2023-07-28,155.27,157.24,153.84,155.75,313234,0.48,3.4,0.31,2.18,1.7,1
2023-07-27,156.76,157.52,153.76,154.19,311922,-2.57,3.76,-1.67,2.44,1.88,-1
2023-07-26,153.09,154.87,152.58,154.71,281624,1.62,2.29,1.05,1.48,1.14,1
