Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-08,7.49,7.53,7.4,7.49,995582,0.0,0.12,0.0,1.67,0.06,1
2023-08-07,7.39,7.44,7.31,7.36,704081,-0.03,0.13,-0.41,1.77,0.07,-1
2023-08-04,7.52,7.68,7.42,7.43,1163634,-0.09,0.26,-1.21,3.5,0.13,1
2023-08-03,7.63,7.69,7.42,7.42,1177085,-0.21,0.27,-2.83,3.64,0.14,-1
2023-08-02,7.93,7.99,7.84,7.92,1062093,-0.01,0.15,-0.13,1.83,0.07,-1
2023-08-01,7.95,8.02,7.84,7.93,712433,-0.02,0.18,-0.25,2.27,0.09,-1
2023-07-31,8.09,8.25,8.08,8.12,651565,0.03,0.17,0.37,2.09,0.08,1
2023-07-28,8.08,8.1,7.97,8.0,586635,-0.08,0.13,-1.0,1.59,0.06,-1
2023-07-27,8.3,8.32,8.0,8.02,945843,-0.28,0.32,-3.49,3.99,0.16,-1
2023-07-26,8.13,8.34,8.12,8.29,885455,0.16,0.22,1.93,2.71,0.11,1
2023-07-25,8.26,8.26,8.1,8.13,578714,-0.13,0.15,-1.6,1.91,0.08,1
2023-07-24,8.07,8.24,8.02,8.12,888895,0.05,0.21,0.62,2.59,0.1,1
2023-07-21,7.97,8.13,7.97,8.06,546722,0.09,0.16,1.12,1.99,0.08,1
2023-07-20,7.94,7.94,7.8,7.86,571009,-0.08,0.14,-1.02,1.72,0.07,-1
2023-07-19,7.85,7.95,7.76,7.89,768205,0.04,0.19,0.51,2.41,0.1,-1
2023-07-18,7.81,7.93,7.81,7.91,585310,0.1,0.12,1.26,1.5,0.06,1
2023-07-17,7.85,7.95,7.78,7.9,509286,0.05,0.17,0.63,2.12,0.08,-1
2023-07-14,8.08,8.08,7.9,7.92,584963,-0.16,0.19,-2.02,2.34,0.09,-1
2023-07-13,8.01,8.13,7.99,8.08,856376,0.07,0.14,0.87,1.73,0.07,1
2023-07-12,8.04,8.15,7.89,7.91,1509769,-0.13,0.26,-1.64,3.29,0.13,-1
2023-07-11,7.84,7.98,7.74,7.95,970643,0.11,0.23,1.38,2.96,0.12,-1
2023-07-10,8.06,8.11,8.0,8.01,570914,-0.05,0.11,-0.62,1.37,0.05,-1
2023-07-07,7.98,8.23,7.98,8.13,821537,0.15,0.25,1.85,3.08,0.12,1
2023-07-06,8.06,8.08,7.88,7.91,805079,-0.15,0.21,-1.9,2.59,0.1,-1
2023-07-05,8.22,8.32,8.15,8.2,1059744,-0.02,0.17,-0.24,2.07,0.08,-1
2023-07-03,8.27,8.36,8.25,8.31,400312,0.04,0.11,0.48,1.26,0.05,1
2023-06-30,8.05,8.32,8.05,8.27,1246038,0.22,0.27,2.66,3.26,0.13,1
2023-06-29,7.9,7.98,7.84,7.96,814649,0.06,0.14,0.75,1.76,0.07,1
2023-06-28,7.94,8.02,7.88,7.89,777974,-0.05,0.15,-0.63,1.9,0.08,-1
2023-06-27,8.17,8.18,7.84,7.99,1151163,-0.18,0.34,-2.25,4.26,0.17,-1
2023-06-26,8.2,8.23,8.09,8.15,615543,-0.05,0.14,-0.61,1.78,0.07,-1
2023-06-23,8.13,8.4,8.12,8.32,1091795,0.19,0.28,2.28,3.31,0.14,1
2023-06-22,8.23,8.25,8.07,8.15,1165085,-0.08,0.18,-0.98,2.21,0.09,-1
2023-06-21,8.22,8.36,8.2,8.29,1608546,0.07,0.16,0.84,1.99,0.08,1
2023-06-20,8.19,8.24,8.1,8.18,1653488,-0.01,0.14,-0.12,1.71,0.07,1
2023-06-16,8.05,8.18,8.01,8.01,3037529,-0.04,0.17,-0.5,2.12,0.08,-1
2023-06-15,8.12,8.34,8.04,8.26,1306302,0.14,0.3,1.69,3.63,0.15,1
2023-06-14,7.95,8.17,7.94,8.11,2632960,0.16,0.23,1.97,2.84,0.11,1
2023-06-13,8.0,8.03,7.84,7.88,1112458,-0.12,0.19,-1.52,2.41,0.09,-1
2023-06-12,7.89,8.05,7.82,8.0,2342907,0.11,0.23,1.38,2.81,0.11,1
2023-06-09,7.72,7.99,7.72,7.85,785168,0.13,0.27,1.66,3.44,0.14,1
2023-06-08,7.64,7.7,7.63,7.68,368135,0.04,0.07,0.52,0.91,0.04,-1
2023-06-07,7.81,7.83,7.63,7.69,1516688,-0.12,0.2,-1.56,2.6,0.1,-1
2023-06-06,7.5,7.76,7.48,7.71,1408064,0.21,0.28,2.72,3.7,0.14,1
2023-06-05,7.3,7.4,7.29,7.36,1368246,0.06,0.12,0.82,1.56,0.06,1
2023-06-02,7.23,7.31,7.19,7.29,1050681,0.06,0.12,0.82,1.65,0.06,1
2023-06-01,6.9,7.09,6.82,7.05,1239116,0.15,0.26,2.13,3.76,0.13,1
2023-05-31,6.94,7.0,6.86,6.98,987097,0.04,0.14,0.57,2.01,0.07,1
2023-05-30,6.87,6.92,6.78,6.89,1151413,0.02,0.15,0.29,2.18,0.07,-1
2023-05-26,7.1,7.2,6.96,7.09,1412457,-0.01,0.24,-0.14,3.39,0.12,-1
2023-05-25,7.24,7.3,7.08,7.12,1951046,-0.12,0.23,-1.69,3.23,0.11,1
2023-05-24,7.22,7.25,6.99,7.01,2818575,-0.21,0.26,-3.0,3.71,0.13,-1
2023-05-23,7.2,7.33,7.16,7.2,1129415,0.0,0.17,0.0,2.29,0.08,1
2023-05-22,7.13,7.28,7.07,7.18,1043869,0.05,0.21,0.7,2.92,0.1,1
2023-05-19,6.89,7.08,6.89,7.0,995802,0.11,0.19,1.57,2.71,0.1,1
2023-05-18,6.98,7.07,6.86,6.91,833627,-0.07,0.21,-1.01,2.97,0.1,-1
2023-05-17,7.21,7.22,6.96,7.01,1447683,-0.2,0.26,-2.85,3.71,0.13,-1
2023-05-16,7.38,7.47,7.11,7.12,1499686,-0.26,0.36,-3.65,5.06,0.18,-1
2023-05-15,7.2,7.34,7.14,7.27,848097,0.07,0.2,0.96,2.68,0.1,1
2023-05-12,7.28,7.31,7.14,7.17,1833493,-0.11,0.17,-1.53,2.37,0.08,-1
2023-05-11,7.18,7.42,7.13,7.29,1397619,0.11,0.29,1.51,3.91,0.14,1
2023-05-10,7.09,7.34,7.06,7.24,1935019,0.15,0.27,2.07,3.8,0.14,1
2023-05-09,6.62,7.03,6.55,6.97,3399954,0.35,0.48,5.02,6.89,0.24,1
2023-05-08,6.7,6.82,6.6,6.69,1292426,-0.01,0.23,-0.15,3.36,0.11,-1
2023-05-05,6.8,6.91,6.74,6.9,1284353,0.1,0.17,1.45,2.46,0.08,1
2023-05-04,6.8,6.84,6.66,6.77,2461999,-0.03,0.18,-0.44,2.73,0.09,1
2023-05-03,6.67,6.68,6.58,6.64,1339345,-0.03,0.1,-0.45,1.58,0.05,-1
2023-05-02,6.81,6.86,6.61,6.66,1154914,-0.15,0.25,-2.25,3.75,0.12,-1
2023-05-01,6.75,6.97,6.7,6.73,1122593,-0.02,0.26,-0.3,3.94,0.13,1
2023-04-28,6.75,6.88,6.71,6.72,1357866,-0.03,0.17,-0.45,2.53,0.08,-1
2023-04-27,6.8,6.89,6.74,6.82,540042,0.02,0.15,0.29,2.16,0.07,1
2023-04-26,6.72,6.84,6.67,6.75,737105,0.03,0.17,0.44,2.52,0.08,1
2023-04-25,6.77,6.79,6.65,6.74,831628,-0.03,0.14,-0.45,2.08,0.07,-1
2023-04-24,6.63,6.88,6.56,6.81,1293546,0.18,0.31,2.64,4.63,0.16,1
2023-04-21,6.7,6.75,6.56,6.63,771670,-0.07,0.19,-1.06,2.8,0.09,-1
2023-04-20,6.63,6.73,6.6,6.68,1381753,0.05,0.14,0.75,2.02,0.07,-1
2023-04-19,6.76,6.8,6.64,6.68,1087599,-0.08,0.17,-1.2,2.47,0.08,-1
2023-04-18,6.82,6.99,6.78,6.92,1565195,0.1,0.21,1.45,3.03,0.1,1
2023-04-17,6.88,6.89,6.75,6.84,1815675,-0.04,0.14,-0.58,2.05,0.07,-1
2023-04-14,6.96,7.22,6.92,7.12,2113348,0.16,0.29,2.25,4.14,0.15,-1
2023-04-13,7.09,7.19,7.08,7.15,1037611,0.06,0.11,0.84,1.55,0.06,1
2023-04-12,7.03,7.3,7.02,7.12,2300258,0.09,0.29,1.26,4.0,0.14,1
2023-04-11,6.8,6.93,6.76,6.86,1099628,0.06,0.17,0.87,2.41,0.08,1
2023-04-10,6.51,6.6,6.48,6.6,936192,0.09,0.12,1.36,1.89,0.06,1
2023-04-06,6.54,6.56,6.46,6.51,575300,-0.03,0.09,-0.46,1.46,0.05,-1
2023-04-05,6.6,6.69,6.52,6.55,710517,-0.05,0.18,-0.76,2.67,0.09,-1
2023-04-04,6.56,6.66,6.52,6.59,835355,0.03,0.14,0.46,2.12,0.07,1
2023-04-03,6.55,6.58,6.48,6.52,843069,-0.03,0.1,-0.46,1.61,0.05,-1
2023-03-31,6.67,6.71,6.57,6.63,1887772,-0.04,0.14,-0.6,2.11,0.07,1
2023-03-30,6.69,6.72,6.46,6.61,1662172,-0.08,0.25,-1.21,3.78,0.12,1
2023-03-29,6.39,6.56,6.3,6.48,1376537,0.09,0.25,1.39,3.94,0.13,-1
2023-03-28,6.36,6.59,6.35,6.48,2089521,0.12,0.24,1.85,3.7,0.12,1
2023-03-27,5.98,6.17,5.96,6.13,1203666,0.15,0.21,2.45,3.51,0.11,1
2023-03-24,5.79,6.02,5.74,5.92,1319807,0.13,0.28,2.2,4.73,0.14,1
2023-03-23,5.92,5.92,5.67,5.75,1523560,-0.17,0.25,-2.96,4.43,0.13,-1
2023-03-22,5.91,6.05,5.84,5.86,1620445,-0.05,0.21,-0.85,3.58,0.1,-1
2023-03-21,6.16,6.18,5.89,5.91,2336979,-0.25,0.29,-4.23,4.99,0.15,-1
2023-03-20,6.12,6.18,6.06,6.11,2393326,-0.01,0.12,-0.16,1.96,0.06,-1
2023-03-17,6.22,6.27,6.12,6.14,2671230,-0.08,0.15,-1.3,2.52,0.08,-1
2023-03-16,6.45,6.58,6.38,6.45,2192231,0.0,0.2,0.0,3.1,0.1,1
2023-03-15,6.04,6.46,6.02,6.4,3146848,0.36,0.45,5.63,6.95,0.22,1
2023-03-14,6.07,6.22,5.97,6.13,1244306,0.06,0.25,0.98,4.08,0.12,1
2023-03-13,6.0,6.21,6.0,6.08,2048435,0.08,0.21,1.32,3.45,0.1,-1
2023-03-10,6.12,6.28,6.11,6.12,1368551,0.0,0.17,0.0,2.86,0.09,-1
2023-03-09,6.44,6.44,6.23,6.26,1773500,-0.18,0.21,-2.88,3.35,0.1,-1
2023-03-08,6.42,6.52,6.38,6.45,1301464,0.03,0.15,0.47,2.33,0.08,1
2023-03-07,6.31,6.34,6.19,6.27,1397083,-0.04,0.14,-0.64,2.31,0.07,-1
2023-03-06,6.3,6.47,6.26,6.46,3898685,0.16,0.21,2.48,3.25,0.1,1
2023-03-03,6.43,6.45,6.34,6.37,2732611,-0.06,0.12,-0.94,1.81,0.06,-1
2023-03-02,6.45,6.53,6.4,6.43,1410455,-0.02,0.13,-0.31,2.02,0.06,-1
2023-03-01,6.5,6.52,6.36,6.52,2241331,0.02,0.16,0.31,2.45,0.08,-1
2023-02-28,6.62,6.66,6.52,6.57,1409160,-0.05,0.14,-0.76,2.13,0.07,-1
2023-02-27,6.66,6.78,6.62,6.7,1355292,0.04,0.15,0.6,2.24,0.08,-1
2023-02-24,6.75,6.75,6.63,6.71,982562,-0.04,0.12,-0.6,1.79,0.06,-1
2023-02-23,6.84,6.88,6.72,6.83,823436,-0.01,0.17,-0.15,2.49,0.08,1
2023-02-22,6.78,6.88,6.71,6.77,1391348,-0.01,0.17,-0.15,2.51,0.08,1
2023-02-21,6.96,7.0,6.74,6.75,703980,-0.21,0.26,-3.11,3.93,0.13,-1
