Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-16,107.05,108.35,106.79,107.14,1964490,0.09,1.56,0.08,1.46,0.78,-1
2023-08-15,111.98,112.33,106.66,107.43,3225658,-4.55,5.67,-4.24,5.28,2.84,-1
2023-08-14,111.01,112.06,109.31,111.93,1795725,0.92,2.75,0.82,2.46,1.38,1
2023-08-11,110.46,112.47,110.46,111.54,2840652,1.08,2.01,0.97,1.8,1.01,-1
2023-08-10,111.01,112.57,110.38,111.67,2268638,0.66,2.19,0.59,1.96,1.09,1
2023-08-09,110.31,111.97,109.53,109.81,3156319,-0.5,2.44,-0.46,2.22,1.22,-1
2023-08-08,106.87,110.34,105.57,109.84,3014347,2.97,4.77,2.7,4.34,2.39,1
2023-08-07,104.06,108.49,104.03,107.49,5171469,3.42,4.46,3.19,4.15,2.23,1
2023-08-04,101.09,104.23,101.01,103.19,5802044,2.1,3.22,2.04,3.12,1.61,1
2023-08-03,106.29,109.54,97.27,98.67,14005180,-7.62,12.27,-7.72,12.44,6.14,-1
2023-08-02,118.89,120.76,116.73,118.0,2325627,-0.89,4.03,-0.75,3.42,2.02,-1
2023-08-01,121.5,121.5,119.18,120.74,1389757,-0.76,2.32,-0.63,1.92,1.16,-1
2023-07-31,120.08,122.59,119.9,122.53,1885468,2.45,2.69,2.0,2.19,1.34,1
2023-07-28,120.53,121.3,119.3,120.09,1306798,-0.44,2.0,-0.37,1.66,1.0,1
2023-07-27,120.4,121.62,118.77,118.82,1491635,-1.58,2.84,-1.33,2.39,1.42,-1
2023-07-26,117.43,119.66,117.2,119.56,1433111,2.13,2.45,1.78,2.05,1.23,1
2023-07-25,116.83,118.14,116.45,117.43,2570869,0.6,1.69,0.51,1.44,0.84,1
2023-07-24,118.35,118.51,115.95,116.83,1773825,-1.52,2.56,-1.3,2.19,1.28,-1
2023-07-21,119.83,120.21,118.69,119.0,1158088,-0.83,1.52,-0.7,1.28,0.76,1
2023-07-20,118.27,121.42,118.05,118.87,1557253,0.6,3.37,0.5,2.83,1.68,-1
2023-07-19,120.91,120.91,117.86,119.1,2256795,-1.81,3.05,-1.52,2.56,1.52,-1
2023-07-18,120.52,122.13,120.12,121.0,2252645,0.48,2.0,0.4,1.66,1.0,-1
2023-07-17,118.06,121.58,117.33,121.14,2138155,3.08,4.25,2.54,3.51,2.12,1
2023-07-14,119.5,120.0,118.12,118.57,1742225,-0.93,1.88,-0.78,1.59,0.94,-1
2023-07-13,118.04,120.47,117.5,119.66,2508717,1.62,2.97,1.35,2.48,1.48,1
2023-07-12,118.69,119.0,115.73,116.04,1964406,-2.65,3.27,-2.28,2.82,1.63,-1
2023-07-11,115.19,117.84,114.88,116.96,2644112,1.77,2.96,1.51,2.53,1.48,1
2023-07-10,111.47,114.87,111.25,114.33,2350859,2.86,3.62,2.5,3.17,1.81,1
2023-07-07,109.31,112.9,109.19,111.88,2114493,2.57,3.72,2.3,3.32,1.86,1
2023-07-06,109.24,109.86,107.65,109.0,2350093,-0.24,2.21,-0.22,2.03,1.1,-1
