Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-27,7.58,7.63,7.48,7.5,1218824,-0.08,0.15,-1.07,2.0,0.07,7.76,7.82,-0.08,-0.09,0.01,56082627,5.98,0.0,35.0,-1.0,-35.0,Weak Sell Signal,8.57,7.76,6.95,0.21,45.86,Target Volume,Expected Range,6.94,Absent or Weak Trend
2023-07-26,7.53,7.6,7.48,7.57,1288923,0.04,0.12,0.53,1.55,0.06,7.78,7.84,-0.09,-0.09,0.0,57301451,6.35,0.0,36.67,-1.0,-36.67,Weak Sell Signal,8.62,7.78,6.94,0.22,46.25,Target Volume,Expected Range,6.95,Absent or Weak Trend
2023-07-25,7.37,7.56,7.34,7.45,1406423,0.08,0.22,1.07,2.95,0.11,7.8,7.84,-0.11,-0.1,-0.02,56012528,6.89,1.67,38.33,-1.0,-36.67,Weak Sell Signal,8.7,7.8,6.9,0.23,45.47,Target Volume,Expected Range,6.96,Absent or Weak Trend
2023-07-24,7.17,7.24,7.13,7.21,1128416,0.04,0.12,0.55,1.6,0.06,7.83,7.86,-0.12,-0.09,-0.03,54606105,11.09,3.33,40.0,-1.0,-36.67,Weak Sell Signal,8.79,7.83,6.88,0.24,43.86,Target Volume,Expected Range,6.96,Absent or Weak Trend
2023-07-21,7.25,7.27,7.08,7.18,1516422,-0.07,0.19,-0.97,2.64,0.09,7.86,7.88,-0.11,-0.08,-0.03,53477689,11.09,5.0,41.67,-1.0,-36.67,Weak Sell Signal,8.83,7.86,6.89,0.25,43.65,Target Volume,Expected Range,6.89,Absent or Weak Trend
2023-07-20,7.37,7.4,7.26,7.28,1482743,-0.09,0.14,-1.24,1.89,0.07,7.89,7.9,-0.09,-0.08,-0.01,54994111,9.12,0.0,43.33,-1.0,-43.33,Weak Sell Signal,8.87,7.89,6.9,0.25,44.18,Target Volume,Expected Range,6.82,Absent or Weak Trend
2023-07-19,7.41,7.44,7.33,7.35,2256246,-0.06,0.1,-0.82,1.43,0.05,7.92,7.92,-0.08,-0.07,-0.0,56476854,8.34,1.67,45.0,-1.0,-43.33,Weak Sell Signal,8.95,7.92,6.88,0.26,44.55,Target Volume,Expected Range,6.78,Absent or Weak Trend
2023-07-18,7.45,7.56,7.38,7.4,1102897,-0.05,0.18,-0.68,2.43,0.09,7.95,7.94,-0.06,-0.07,0.01,58733100,7.79,0.0,46.67,-1.0,-46.67,Weak Sell Signal,9.01,7.95,6.88,0.27,44.81,Target Volume,Expected Range,6.76,Absent or Weak Trend
2023-07-17,7.48,7.48,7.38,7.46,1271589,-0.02,0.1,-0.27,1.34,0.05,7.98,7.96,-0.05,-0.08,0.03,59835997,8.82,1.67,48.33,-1.0,-46.67,Weak Sell Signal,9.08,7.98,6.87,0.28,45.13,Target Volume,Expected Range,6.74,Absent or Weak Trend
2023-07-14,7.84,7.85,7.6,7.61,910868,-0.23,0.25,-3.02,3.29,0.12,8.01,7.98,-0.03,-0.08,0.05,61107586,6.39,0.0,50.0,-1.0,-50.0,Weak Sell Signal,9.15,8.01,6.86,0.29,45.93,Target Volume,Expected Range,6.71,Absent or Weak Trend
2023-07-13,7.81,7.87,7.76,7.87,954660,0.06,0.11,0.76,1.4,0.06,8.04,7.99,-0.03,-0.09,0.06,62018454,4.57,1.67,51.67,-1.0,-50.0,Weak Sell Signal,9.24,8.04,6.84,0.3,47.35,Target Volume,Expected Range,6.71,Absent or Weak Trend
2023-07-12,7.91,8.04,7.88,7.88,1782541,-0.03,0.17,-0.38,2.16,0.08,8.06,8.0,-0.06,-0.11,0.05,62973114,3.24,3.33,53.33,-1.0,-50.0,Weak Sell Signal,9.31,8.06,6.82,0.31,47.4,Target Volume,Expected Range,6.75,Absent or Weak Trend
2023-07-11,7.67,7.78,7.66,7.75,1008336,0.08,0.12,1.03,1.55,0.06,8.09,8.0,-0.09,-0.12,0.03,61190573,6.61,5.0,55.0,-1.0,-50.0,Weak Sell Signal,9.37,8.09,6.8,0.32,46.6,Target Volume,Expected Range,6.81,Absent or Weak Trend
2023-07-10,7.54,7.6,7.5,7.54,817803,0.0,0.1,0.0,1.39,0.05,8.12,8.01,-0.12,-0.13,0.02,60182237,8.98,6.67,56.67,-1.0,-50.0,Weak Sell Signal,9.44,8.12,6.79,0.33,45.28,Target Volume,Expected Range,6.81,Absent or Weak Trend
2023-07-07,7.4,7.59,7.4,7.53,1340557,0.13,0.19,1.73,2.52,0.09,8.14,8.02,-0.13,-0.14,0.01,59364434,9.11,8.33,58.33,-1.0,-50.0,Weak Sell Signal,9.48,8.14,6.8,0.33,45.22,Target Volume,Expected Range,6.77,Absent or Weak Trend
2023-07-06,7.41,7.41,7.26,7.38,1338264,-0.03,0.15,-0.41,2.03,0.08,8.17,8.04,-0.13,-0.14,0.0,58023877,11.52,10.0,60.0,-1.0,-50.0,Weak Sell Signal,9.52,8.17,6.82,0.33,44.26,Target Volume,Expected Range,6.73,Absent or Weak Trend
2023-07-05,7.4,7.58,7.32,7.49,2210977,0.09,0.25,1.2,3.4,0.13,8.19,8.06,-0.13,-0.14,0.01,59362141,10.87,11.67,61.67,-1.0,-50.0,Weak Sell Signal,9.54,8.19,6.84,0.33,44.83,Target Volume,Expected Range,6.65,Absent or Weak Trend
2023-07-03,7.57,7.65,7.52,7.53,502047,-0.04,0.13,-0.53,1.73,0.07,8.21,8.08,-0.13,-0.14,0.01,61573118,8.7,13.33,63.33,-1.0,-50.0,Weak Sell Signal,9.56,8.21,6.87,0.33,45.03,Target Volume,Expected Range,6.58,Absent or Weak Trend
2023-06-30,7.52,7.62,7.48,7.55,1141349,0.03,0.14,0.4,1.81,0.07,8.24,8.1,-0.14,-0.14,0.01,62075165,9.14,15.0,65.0,-1.0,-50.0,Weak Sell Signal,9.58,8.24,6.89,0.33,45.13,Target Volume,Expected Range,6.55,Absent or Weak Trend
2023-06-29,7.35,7.44,7.32,7.37,771351,0.02,0.12,0.27,1.63,0.06,8.26,8.12,-0.15,-0.14,-0.0,60933816,11.47,16.67,66.67,-1.0,-50.0,Weak Sell Signal,9.61,8.26,6.91,0.33,44.02,Target Volume,Expected Range,6.5,Absent or Weak Trend
2023-06-28,7.47,7.47,7.3,7.37,1215129,-0.1,0.17,-1.36,2.31,0.08,8.29,8.15,-0.13,-0.14,0.01,60933816,11.47,18.33,68.33,-1.0,-50.0,Weak Sell Signal,9.63,8.29,6.95,0.32,44.02,Target Volume,Expected Range,6.42,Absent or Weak Trend
2023-06-27,7.47,7.57,7.42,7.48,1817615,0.01,0.15,0.13,2.01,0.08,8.32,8.17,-0.12,-0.15,0.03,62148945,10.21,20.0,70.0,-1.0,-50.0,Weak Sell Signal,9.67,8.32,6.97,0.32,44.55,Target Volume,Expected Range,6.33,Absent or Weak Trend
2023-06-26,7.61,7.66,7.54,7.58,1164820,-0.03,0.12,-0.4,1.65,0.06,8.35,8.2,-0.11,-0.15,0.05,63966560,8.93,21.67,71.67,-1.0,-50.0,Weak Sell Signal,9.7,8.35,7.0,0.32,45.04,Target Volume,Expected Range,6.27,Absent or Weak Trend
2023-06-23,7.65,7.77,7.64,7.7,1794915,0.05,0.13,0.65,1.75,0.07,8.38,8.22,-0.1,-0.17,0.06,65131380,7.91,23.33,73.33,-1.0,-50.0,Weak Sell Signal,9.74,8.38,7.02,0.32,45.63,Target Volume,Expected Range,6.22,Absent or Weak Trend
2023-06-22,7.95,7.95,7.8,7.87,1224163,-0.08,0.15,-1.02,1.84,0.07,8.4,8.23,-0.11,-0.18,0.08,66926295,6.06,25.0,75.0,-1.0,-50.0,Weak Sell Signal,9.76,8.4,7.05,0.32,46.48,Target Volume,Expected Range,6.19,Absent or Weak Trend
2023-06-21,7.75,7.84,7.72,7.76,1132482,0.01,0.12,0.13,1.61,0.06,8.43,8.25,-0.13,-0.2,0.07,65702132,7.43,26.67,76.67,-1.0,-50.0,Weak Sell Signal,9.79,8.43,7.06,0.32,45.84,Target Volume,Expected Range,6.19,Absent or Weak Trend
2023-06-20,7.71,7.79,7.61,7.76,1254680,0.05,0.18,0.64,2.32,0.09,8.45,8.26,-0.14,-0.22,0.08,65702132,8.06,28.33,78.33,-1.0,-50.0,Weak Sell Signal,9.83,8.45,7.08,0.33,45.84,Target Volume,Expected Range,6.17,Absent or Weak Trend
2023-06-16,7.92,7.93,7.82,7.84,1401687,-0.08,0.11,-1.02,1.44,0.06,8.48,8.28,-0.16,-0.24,0.08,66956812,5.85,30.0,80.0,-1.0,-50.0,Weak Sell Signal,9.86,8.48,7.1,0.33,46.23,Target Volume,Expected Range,6.14,Absent or Weak Trend
2023-06-15,7.77,7.93,7.7,7.89,1466916,0.12,0.23,1.52,2.92,0.11,8.5,8.3,-0.18,-0.26,0.08,68358499,5.85,31.67,81.67,-1.0,-50.0,Weak Sell Signal,9.88,8.5,7.12,0.32,46.48,Target Volume,Expected Range,6.15,Absent or Weak Trend
2023-06-14,7.68,7.9,7.67,7.75,1453322,0.07,0.23,0.9,2.97,0.12,8.52,8.31,-0.22,-0.28,0.06,66891583,6.21,33.33,83.33,-1.0,-50.0,Weak Sell Signal,9.91,8.52,7.14,0.32,45.69,Target Volume,Expected Range,6.15,Absent or Weak Trend
2023-06-13,7.71,7.76,7.56,7.59,2185941,-0.12,0.21,-1.58,2.7,0.1,8.55,8.33,-0.24,-0.3,0.05,65438261,7.84,35.0,85.0,-1.0,-50.0,Weak Sell Signal,9.92,8.55,7.17,0.32,44.78,Target Volume,Expected Range,6.15,Absent or Weak Trend
2023-06-12,7.63,7.64,7.52,7.55,1039324,-0.08,0.12,-1.06,1.66,0.06,8.57,8.35,-0.26,-0.31,0.05,63252320,9.37,36.67,86.67,-1.0,-50.0,Weak Sell Signal,9.93,8.57,7.21,0.32,44.55,Target Volume,Expected Range,6.12,Absent or Weak Trend
2023-06-09,7.7,7.8,7.66,7.73,1401809,0.03,0.14,0.39,1.88,0.07,8.6,8.38,-0.27,-0.32,0.05,64291644,7.93,38.33,88.33,-1.0,-50.0,Weak Sell Signal,9.95,8.6,7.25,0.31,45.38,Target Volume,Expected Range,6.07,Absent or Weak Trend
2023-06-08,7.7,7.79,7.6,7.66,1214807,-0.04,0.19,-0.52,2.48,0.1,8.63,8.4,-0.3,-0.33,0.04,62889835,8.05,0.0,90.0,-1.0,-90.0,Strong Sell Signal,9.98,8.63,7.28,0.31,44.99,Target Volume,Expected Range,6.04,Absent or Weak Trend
2023-06-07,7.6,7.7,7.56,7.6,1859159,0.0,0.14,0.0,1.84,0.07,8.67,8.43,-0.32,-0.34,0.02,61675028,9.13,1.67,91.67,-1.0,-90.0,Strong Sell Signal,10.03,8.67,7.31,0.31,44.65,Target Volume,Expected Range,6.0,Absent or Weak Trend
2023-06-06,7.54,7.73,7.52,7.68,1451829,0.14,0.22,1.82,2.8,0.11,8.7,8.46,-0.34,-0.35,0.01,63534187,9.13,3.33,93.33,-1.0,-90.0,Strong Sell Signal,10.04,8.7,7.35,0.31,45.01,Target Volume,Expected Range,5.95,Absent or Weak Trend
2023-06-05,7.66,7.69,7.54,7.64,1580805,-0.02,0.15,-0.26,1.9,0.07,8.73,8.48,-0.37,-0.35,-0.02,62082358,9.6,5.0,95.0,-1.0,-90.0,Strong Sell Signal,10.06,8.73,7.39,0.31,44.79,Target Volume,Expected Range,5.89,Absent or Weak Trend
2023-06-02,7.39,7.66,7.39,7.65,2149511,0.26,0.27,3.4,3.53,0.14,8.76,8.51,-0.4,-0.35,-0.05,63663163,9.94,6.67,96.67,-1.0,-90.0,Strong Sell Signal,10.07,8.76,7.44,0.3,44.84,Target Volume,Expected Range,5.83,Absent or Weak Trend
2023-06-01,7.06,7.24,7.06,7.17,1895545,0.11,0.18,1.53,2.51,0.09,8.8,8.54,-0.43,-0.34,-0.09,61513652,14.97,8.33,98.33,-1.0,-90.0,Strong Sell Signal,10.12,8.8,7.48,0.3,42.16,Target Volume,Expected Range,5.76,Absent or Weak Trend
2023-05-31,7.13,7.18,6.99,7.06,2258747,-0.07,0.18,-0.99,2.62,0.09,8.84,8.59,-0.41,-0.31,-0.1,59618107,15.78,0.0,100.0,-1.0,-100.0,Strong Sell Signal,10.12,8.84,7.56,0.29,41.52,Target Volume,Expected Range,5.61,Absent or Weak Trend
2023-05-30,7.42,7.43,7.29,7.36,1570451,-0.06,0.14,-0.82,1.9,0.07,8.89,8.64,-0.37,-0.29,-0.08,61876854,13.01,0.0,100.0,-1.0,-100.0,Strong Sell Signal,10.12,8.89,7.66,0.28,42.79,Target Volume,Expected Range,5.43,Absent or Weak Trend
2023-05-26,7.47,7.5,7.39,7.46,1440127,-0.01,0.12,-0.13,1.54,0.06,8.94,8.68,-0.35,-0.27,-0.08,63447305,12.06,1.67,98.33,-1.0,-96.67,Strong Sell Signal,10.16,8.94,7.72,0.27,43.22,Target Volume,Expected Range,5.3,Absent or Weak Trend
2023-05-25,7.57,7.58,7.37,7.47,1792901,-0.1,0.21,-1.34,2.8,0.1,8.98,8.72,-0.33,-0.25,-0.08,64887432,12.06,0.0,100.0,-1.0,-100.0,Strong Sell Signal,10.18,8.98,7.79,0.27,43.26,Target Volume,Expected Range,5.19,Absent or Weak Trend
