Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-18,3.02,3.1,2.9,2.9,8624,-0.12,0.2,-4.14,6.9,0.1,-1
2023-08-17,3.06,3.2,2.98,3.01,17063,-0.05,0.22,-1.5,7.31,0.11,1
2023-08-16,3.02,3.2,2.9,3.0,44502,-0.02,0.29,-0.67,9.83,0.15,-1
2023-08-15,3.1,3.39,3.05,3.07,39124,-0.03,0.34,-0.98,11.07,0.17,-1
2023-08-14,3.4,3.55,3.01,3.18,185611,-0.22,0.54,-6.92,16.97,0.27,-1
2023-08-11,3.4,3.45,3.31,3.33,7637,-0.07,0.14,-2.1,4.2,0.07,-1
2023-08-10,3.45,3.45,3.32,3.4,19346,-0.05,0.13,-1.47,3.82,0.07,1
2023-08-09,3.4,3.45,3.35,3.35,21422,-0.05,0.1,-1.49,2.99,0.05,-1
2023-08-08,3.28,3.45,3.22,3.4,29483,0.13,0.23,3.77,6.76,0.12,1
2023-08-07,3.27,3.3,3.11,3.23,7910,-0.04,0.19,-1.24,6.02,0.1,1
2023-08-04,3.32,3.38,3.12,3.12,21891,-0.2,0.26,-6.41,8.33,0.13,-1
2023-08-03,3.2,3.36,3.15,3.17,36601,-0.03,0.21,-0.95,6.62,0.1,-1
2023-08-02,3.15,3.33,2.91,3.3,56628,0.15,0.42,4.55,12.65,0.21,1
2023-08-01,3.28,3.37,3.01,3.05,52397,-0.23,0.36,-7.54,11.8,0.18,-1
2023-07-31,3.28,3.44,3.16,3.2,72440,-0.08,0.28,-2.5,8.88,0.14,-1
2023-07-28,3.36,3.4,3.12,3.23,35297,-0.13,0.28,-4.02,8.82,0.14,-1
2023-07-27,3.6,3.6,3.31,3.34,52444,-0.26,0.29,-7.78,8.68,0.15,-1
2023-07-26,3.52,3.69,3.45,3.46,28955,-0.06,0.24,-1.73,6.94,0.12,-1
2023-07-25,3.45,3.74,3.45,3.57,39279,0.12,0.29,3.36,8.12,0.15,-1
2023-07-24,3.46,3.7,3.41,3.59,40852,0.13,0.29,3.62,8.08,0.15,1
2023-07-21,3.58,3.58,3.41,3.52,13369,-0.06,0.17,-1.7,4.86,0.09,-1
