Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-12,48.12,48.59,47.44,48.43,1538501,0.31,1.15,0.64,2.37,0.58,39.19,40.16,2.21,1.22,0.99,-348027944,20.06,100.0,23.33,1.0,76.67,Strong Buy Signal,44.7,39.19,33.67,0.28,58.89,Target Volume,Expected Range,7.92,Absent or Weak Trend
2023-07-11,46.79,48.0,46.5,47.76,1736352,0.97,1.5,2.03,3.14,0.75,39.05,39.88,1.93,0.97,0.96,-349566445,19.07,100.0,25.0,1.0,75.0,Strong Buy Signal,44.02,39.05,34.08,0.25,58.36,Target Volume,Expected Range,7.71,Absent or Weak Trend
2023-07-10,45.67,46.7,45.57,46.57,1865480,0.9,1.13,1.93,2.44,0.57,38.92,39.61,1.6,0.73,0.87,-351302797,16.85,100.0,26.67,1.0,73.33,Strong Buy Signal,43.36,38.92,34.49,0.23,57.42,Target Volume,Expected Range,7.52,Absent or Weak Trend
2023-07-07,43.43,46.58,43.42,46.19,2704500,2.76,3.16,5.98,6.84,1.58,38.82,39.37,1.29,0.51,0.78,-353168277,16.63,100.0,28.33,1.0,71.67,Strong Buy Signal,42.79,38.82,34.84,0.2,57.11,Target Volume,Expected Range,7.36,Absent or Weak Trend
2023-07-06,43.0,43.84,42.27,43.72,2401797,0.72,1.57,1.65,3.6,0.79,38.69,39.14,0.91,0.32,0.59,-355872777,11.66,98.33,30.0,1.0,68.33,Weak Buy Signal,42.17,38.69,35.21,0.18,55.04,Target Volume,Expected Range,7.2,Absent or Weak Trend
2023-07-05,42.72,44.15,42.5,43.46,2664394,0.74,1.65,1.7,3.8,0.82,38.61,38.99,0.66,0.17,0.5,-358274574,12.22,100.0,31.67,1.0,68.33,Weak Buy Signal,41.83,38.61,35.38,0.17,54.81,Target Volume,Expected Range,7.13,Absent or Weak Trend
2023-07-03,41.11,42.86,41.02,42.38,1103219,1.27,1.84,3.0,4.35,0.92,38.51,38.83,0.37,0.04,0.32,-360938968,9.76,100.0,33.33,1.0,66.67,Weak Buy Signal,41.48,38.51,35.54,0.15,53.87,Target Volume,Expected Range,7.04,Absent or Weak Trend
2023-06-30,39.63,42.33,39.47,41.31,2905872,1.68,2.86,4.07,6.92,1.43,38.45,38.71,0.09,-0.04,0.13,-362042187,8.72,100.0,35.0,1.0,65.0,Weak Buy Signal,41.24,38.45,35.65,0.15,52.91,Target Volume,Expected Range,6.99,Absent or Weak Trend
2023-06-29,38.11,39.18,38.07,39.09,1083396,0.98,1.11,2.51,2.84,0.55,38.41,38.63,-0.15,-0.07,-0.08,-364948059,2.16,71.67,36.67,1.0,35.0,Weak Buy Signal,41.12,38.41,35.71,0.14,50.82,Target Volume,Expected Range,6.97,Absent or Weak Trend
2023-06-28,38.11,38.49,37.33,37.66,882235,-0.45,1.16,-1.19,3.08,0.58,38.44,38.61,-0.24,-0.05,-0.19,-366031455,0.62,73.33,38.33,1.0,35.0,Weak Buy Signal,41.22,38.44,35.67,0.14,49.39,Target Volume,Expected Range,7.05,Absent or Weak Trend
2023-06-27,38.41,38.65,37.86,37.96,977518,-0.45,0.79,-1.19,2.08,0.39,38.47,38.64,-0.19,-0.0,-0.19,-365149220,1.83,75.0,40.0,1.0,35.0,Weak Buy Signal,41.25,38.47,35.7,0.14,49.69,Target Volume,Expected Range,7.16,Absent or Weak Trend
2023-06-26,36.9,38.75,36.9,38.32,1231336,1.42,1.85,3.71,4.83,0.92,38.49,38.67,-0.17,0.05,-0.21,-364171702,1.83,76.67,41.67,1.0,35.0,Weak Buy Signal,41.27,38.49,35.71,0.14,50.04,Target Volume,Expected Range,7.25,Absent or Weak Trend
2023-06-23,37.36,37.36,36.2,36.52,6300583,-0.84,1.16,-2.3,3.18,0.58,38.52,38.68,-0.17,0.1,-0.27,-365403038,1.25,78.33,43.33,1.0,35.0,Weak Buy Signal,41.32,38.52,35.72,0.15,48.23,Target Volume,Expected Range,7.34,Absent or Weak Trend
2023-06-22,38.39,38.5,37.73,38.15,849779,-0.24,0.77,-0.63,2.02,0.39,38.57,38.75,0.02,0.17,-0.15,-359102455,2.22,80.0,45.0,1.0,35.0,Weak Buy Signal,41.35,38.57,35.8,0.14,49.84,Target Volume,Expected Range,7.44,Absent or Weak Trend
2023-06-21,38.43,39.35,38.43,39.02,1060731,0.59,0.92,1.51,2.36,0.46,38.59,38.77,0.09,0.2,-0.11,-358252676,3.87,81.67,46.67,1.0,35.0,Weak Buy Signal,41.36,38.59,35.82,0.14,50.73,Target Volume,Expected Range,7.53,Absent or Weak Trend
2023-06-20,38.41,39.17,37.74,39.16,1598949,0.75,1.43,1.92,3.65,0.71,38.56,38.76,0.09,0.23,-0.14,-357191945,3.48,83.33,48.33,1.0,35.0,Weak Buy Signal,41.35,38.56,35.77,0.14,50.88,Target Volume,Expected Range,7.59,Absent or Weak Trend
2023-06-16,38.94,39.49,38.52,38.66,1894787,-0.28,0.97,-0.72,2.51,0.48,38.53,38.75,0.08,0.27,-0.19,-358790894,5.31,85.0,50.0,1.0,35.0,Weak Buy Signal,41.33,38.53,35.73,0.15,50.38,Target Volume,Expected Range,7.66,Absent or Weak Trend
2023-06-15,38.44,38.89,38.02,38.73,1349732,0.29,0.87,0.75,2.25,0.43,38.53,38.75,0.11,0.31,-0.2,-356896107,4.02,86.67,51.67,1.0,35.0,Weak Buy Signal,41.33,38.53,35.72,0.15,50.45,Target Volume,Expected Range,7.7,Absent or Weak Trend
2023-06-14,37.93,38.62,37.4,38.57,1776989,0.64,1.22,1.66,3.16,0.61,38.55,38.75,0.14,0.36,-0.22,-358245839,3.44,88.33,53.33,1.0,35.0,Weak Buy Signal,41.37,38.55,35.72,0.15,50.3,Target Volume,Expected Range,7.76,Absent or Weak Trend
2023-06-13,38.21,38.86,37.26,37.28,1493970,-0.93,1.6,-2.49,4.29,0.8,38.54,38.76,0.2,0.42,-0.22,-360022828,3.44,90.0,55.0,1.0,35.0,Weak Buy Signal,41.36,38.54,35.72,0.15,49.03,Target Volume,Expected Range,7.84,Absent or Weak Trend
2023-06-12,39.2,39.49,37.33,37.41,2575102,-1.79,2.16,-4.78,5.77,1.08,38.51,38.81,0.39,0.48,-0.08,-358528858,3.6,91.67,56.67,1.0,35.0,Weak Buy Signal,41.43,38.51,35.59,0.15,49.16,Target Volume,Expected Range,7.91,Absent or Weak Trend
2023-06-09,40.0,40.53,39.5,40.0,849117,0.0,1.03,0.0,2.58,0.52,38.51,38.86,0.63,0.5,0.13,-355953756,8.63,93.33,58.33,1.0,35.0,Weak Buy Signal,41.43,38.51,35.6,0.15,51.72,Target Volume,Expected Range,7.98,Absent or Weak Trend
2023-06-08,40.66,40.87,39.77,40.39,883063,-0.27,1.1,-0.67,2.72,0.55,38.47,38.82,0.65,0.46,0.19,-355104639,9.28,95.0,60.0,1.0,35.0,Weak Buy Signal,41.37,38.47,35.57,0.15,52.12,Target Volume,Expected Range,7.97,Absent or Weak Trend
2023-06-07,39.97,41.45,39.97,40.84,1214004,0.87,1.48,2.13,3.62,0.74,38.46,38.76,0.63,0.42,0.22,-354221576,9.76,96.67,61.67,1.0,35.0,Weak Buy Signal,41.33,38.46,35.58,0.15,52.58,Target Volume,Expected Range,7.95,Absent or Weak Trend
2023-06-06,39.35,40.06,39.06,39.5,1147784,0.15,0.99,0.38,2.52,0.5,38.42,38.69,0.56,0.36,0.19,-355435580,6.97,0.0,63.33,-1.0,-63.33,Weak Sell Signal,41.24,38.42,35.61,0.15,51.31,Target Volume,Expected Range,7.92,Absent or Weak Trend
2023-06-05,40.99,41.48,39.82,40.19,1164000,-0.8,1.66,-1.99,4.13,0.83,38.43,38.67,0.59,0.32,0.27,-354287796,8.77,0.0,65.0,-1.0,-65.0,Weak Sell Signal,41.25,38.43,35.61,0.15,52.02,Target Volume,Expected Range,7.94,Absent or Weak Trend
2023-06-02,40.8,41.44,40.2,40.8,1538655,0.0,1.24,0.0,3.04,0.62,38.44,38.61,0.55,0.25,0.3,-353123796,9.67,0.0,66.67,-1.0,-66.67,Weak Sell Signal,41.3,38.44,35.59,0.15,52.65,Target Volume,Expected Range,7.92,Absent or Weak Trend
2023-06-01,37.92,40.61,37.92,40.13,1040029,2.21,2.69,5.51,6.7,1.34,38.47,38.54,0.42,0.18,0.25,-354662451,8.03,0.0,68.33,-1.0,-68.33,Weak Sell Signal,41.46,38.47,35.48,0.16,52.02,Target Volume,Expected Range,7.89,Absent or Weak Trend
2023-05-31,38.86,39.29,37.59,37.74,1929678,-1.12,1.7,-2.97,4.5,0.85,38.52,38.49,0.33,0.11,0.22,-355702480,5.32,0.0,70.0,-1.0,-70.0,Weak Sell Signal,41.73,38.52,35.31,0.17,49.69,Target Volume,Expected Range,7.89,Absent or Weak Trend
2023-05-30,39.21,40.1,38.6,39.82,1933519,0.61,1.5,1.53,3.77,0.75,38.65,38.51,0.45,0.06,0.39,-353772802,7.7,1.67,71.67,-1.0,-70.0,Weak Sell Signal,42.29,38.65,35.01,0.19,51.84,Target Volume,Expected Range,7.93,Absent or Weak Trend
