Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-21,4.09,4.12,3.97,3.97,196215,-0.12,0.15,-3.02,3.78,0.07,3.94,3.95,0.02,0.04,-0.03,53495521,8.42,66.67,1.67,1.0,65.0,Weak Buy Signal,4.26,3.94,3.62,0.16,52.27,Target Volume,Expected Range,7.66,Absent or Weak Trend
2023-07-20,4.04,4.08,4.0,4.06,242682,0.02,0.08,0.49,1.97,0.04,3.93,3.95,0.03,0.05,-0.02,53691736,7.38,68.33,3.33,1.0,65.0,Weak Buy Signal,4.27,3.93,3.59,0.17,53.39,Target Volume,Expected Range,7.65,Absent or Weak Trend
2023-07-19,3.97,4.04,3.96,4.03,280927,0.06,0.08,1.49,2.11,0.04,3.92,3.95,0.03,0.05,-0.02,53449054,6.46,70.0,0.0,1.0,70.0,Strong Buy Signal,4.26,3.92,3.58,0.17,53.06,Target Volume,Expected Range,7.66,Absent or Weak Trend
2023-07-18,3.99,4.06,3.99,4.02,193902,0.03,0.06,0.75,1.62,0.03,3.92,3.94,0.04,0.06,-0.02,53168127,7.36,71.67,1.67,1.0,70.0,Strong Buy Signal,4.27,3.92,3.56,0.18,52.95,Target Volume,Expected Range,7.68,Absent or Weak Trend
2023-07-17,4.04,4.06,3.99,3.99,245386,-0.05,0.06,-1.25,1.63,0.03,3.91,3.94,0.04,0.07,-0.02,52974225,7.36,73.33,3.33,1.0,70.0,Strong Buy Signal,4.28,3.91,3.54,0.19,52.63,Target Volume,Expected Range,7.68,Absent or Weak Trend
2023-07-14,4.12,4.14,4.0,4.06,361331,-0.06,0.14,-1.48,3.57,0.07,3.9,3.94,0.06,0.07,-0.01,53219611,7.65,75.0,5.0,1.0,70.0,Strong Buy Signal,4.27,3.9,3.53,0.19,53.47,Target Volume,Expected Range,7.69,Absent or Weak Trend
2023-07-13,4.12,4.18,4.06,4.12,295192,0.0,0.12,0.0,2.96,0.06,3.9,3.94,0.07,0.07,-0.01,53580942,9.5,76.67,6.67,1.0,70.0,Strong Buy Signal,4.27,3.9,3.53,0.19,54.2,Target Volume,Expected Range,7.69,Absent or Weak Trend
2023-07-12,4.24,4.24,4.11,4.12,284482,-0.12,0.13,-2.91,3.24,0.07,3.89,3.93,0.08,0.08,-0.0,53580942,10.89,78.33,8.33,1.0,70.0,Strong Buy Signal,4.26,3.89,3.53,0.19,54.2,Target Volume,Expected Range,7.66,Absent or Weak Trend
2023-07-11,4.12,4.21,4.1,4.21,270677,0.09,0.11,2.14,2.61,0.06,3.89,3.92,0.08,0.08,0.01,53865424,10.09,80.0,10.0,1.0,70.0,Strong Buy Signal,4.26,3.89,3.53,0.19,55.3,Target Volume,Expected Range,7.6,Absent or Weak Trend
2023-07-10,4.2,4.27,4.1,4.12,242504,-0.08,0.17,-1.94,4.13,0.08,3.89,3.91,0.08,0.07,0.0,53594747,10.09,81.67,11.67,1.0,70.0,Strong Buy Signal,4.24,3.89,3.53,0.18,54.39,Target Volume,Expected Range,7.56,Absent or Weak Trend
2023-07-07,4.16,4.25,4.15,4.21,427194,0.05,0.1,1.19,2.32,0.05,3.88,3.91,0.08,0.07,0.01,53837251,11.54,83.33,13.33,1.0,70.0,Strong Buy Signal,4.23,3.88,3.54,0.18,55.5,Target Volume,Expected Range,7.52,Absent or Weak Trend
2023-07-06,4.13,4.17,4.06,4.15,242087,0.02,0.11,0.48,2.65,0.06,3.88,3.9,0.08,0.07,0.01,53410057,9.73,85.0,15.0,1.0,70.0,Strong Buy Signal,4.22,3.88,3.54,0.18,54.9,Target Volume,Expected Range,7.45,Absent or Weak Trend
2023-07-05,4.08,4.2,4.04,4.16,226517,0.08,0.16,1.92,3.73,0.08,3.88,3.89,0.08,0.07,0.01,53652144,9.73,86.67,16.67,1.0,70.0,Strong Buy Signal,4.21,3.88,3.54,0.17,55.02,Target Volume,Expected Range,7.41,Absent or Weak Trend
2023-07-03,4.19,4.21,4.08,4.13,216546,-0.06,0.13,-1.45,3.15,0.06,3.87,3.88,0.08,0.06,0.01,53425627,10.86,88.33,18.33,1.0,70.0,Strong Buy Signal,4.2,3.87,3.54,0.17,54.73,Target Volume,Expected Range,7.37,Absent or Weak Trend
2023-06-30,4.16,4.24,4.14,4.17,275179,0.01,0.1,0.24,2.28,0.05,3.87,3.87,0.08,0.06,0.02,53642173,12.58,90.0,20.0,1.0,70.0,Strong Buy Signal,4.18,3.87,3.55,0.17,55.2,Target Volume,Expected Range,7.31,Absent or Weak Trend
2023-06-29,4.06,4.16,4.06,4.15,197317,0.09,0.1,2.17,2.41,0.05,3.86,3.86,0.07,0.06,0.02,53366994,10.88,91.67,21.67,1.0,70.0,Strong Buy Signal,4.17,3.86,3.55,0.16,55.01,Target Volume,Expected Range,7.22,Absent or Weak Trend
2023-06-28,3.97,4.09,3.89,4.05,317666,0.08,0.2,1.98,4.94,0.1,3.86,3.85,0.07,0.05,0.01,53169677,9.27,93.33,23.33,1.0,70.0,Strong Buy Signal,4.16,3.86,3.55,0.16,54.04,Target Volume,Expected Range,7.16,Absent or Weak Trend
2023-06-27,4.07,4.11,3.99,4.01,447022,-0.06,0.12,-1.5,2.99,0.06,3.85,3.84,0.07,0.05,0.02,52852011,12.12,95.0,25.0,1.0,70.0,Strong Buy Signal,4.15,3.85,3.56,0.15,53.64,Target Volume,Expected Range,7.12,Absent or Weak Trend
2023-06-26,3.93,4.12,3.93,4.08,617779,0.15,0.19,3.68,4.78,0.1,3.85,3.84,0.07,0.05,0.03,53299033,12.12,96.67,26.67,1.0,70.0,Strong Buy Signal,4.14,3.85,3.55,0.15,54.45,Target Volume,Expected Range,7.04,Absent or Weak Trend
2023-06-23,4.11,4.15,3.92,3.96,8263842,-0.15,0.23,-3.79,5.81,0.12,3.84,3.83,0.07,0.04,0.03,52681254,12.12,98.33,28.33,1.0,70.0,Strong Buy Signal,4.13,3.84,3.56,0.15,53.26,Target Volume,Expected Range,6.95,Absent or Weak Trend
