Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-14,102.68,103.76,101.51,103.75,1708841,1.07,2.25,1.03,2.17,1.12,96.66,96.11,1.44,2.15,-0.71,295576611,24.73,81.67,8.33,1.0,73.33,Strong Buy Signal,114.77,96.66,78.56,0.37,60.34,Trending Low,Bearish Trend,24.3,Absent or Weak Trend
2023-08-11,102.48,103.16,101.26,102.82,1751783,0.34,1.89,0.33,1.84,0.95,96.26,95.85,1.62,2.32,-0.71,293867770,24.12,83.33,0.0,1.0,83.33,Strong Buy Signal,114.79,96.26,77.74,0.38,59.9,Target Volume,Expected Range,24.3,Absent or Weak Trend
2023-08-10,104.2,104.86,102.51,103.57,1806640,-0.63,2.35,-0.61,2.27,1.17,95.82,95.62,1.91,2.5,-0.59,295619553,26.18,85.0,0.0,1.0,85.0,Strong Buy Signal,114.95,95.82,76.7,0.4,60.42,Trending Low,Bearish Trend,24.3,Absent or Weak Trend
2023-08-09,105.93,106.41,103.07,103.17,2086290,-2.76,3.34,-2.68,3.24,1.67,95.37,95.35,2.18,2.65,-0.46,293812913,27.11,86.67,0.0,1.0,86.67,Strong Buy Signal,115.03,95.37,75.7,0.41,60.24,Trending Low,Bearish Trend,24.27,Absent or Weak Trend
2023-08-08,106.3,106.74,105.14,106.15,1901138,-0.15,1.6,-0.14,1.51,0.8,94.9,95.08,2.54,2.76,-0.22,295899203,30.6,88.33,1.67,1.0,86.67,Strong Buy Signal,115.12,94.9,74.67,0.43,62.34,Trending Low,Bearish Trend,24.22,Absent or Weak Trend
2023-08-07,104.7,108.24,104.48,108.06,3198382,3.36,3.75,3.11,3.47,1.88,94.4,94.71,2.65,2.82,-0.17,297800341,30.6,90.0,3.33,1.0,86.67,Strong Buy Signal,114.96,94.4,73.84,0.44,63.73,Trending Low,Bearish Trend,24.11,Absent or Weak Trend
2023-08-04,105.0,105.75,102.7,103.92,2127590,-1.08,3.05,-1.04,2.93,1.52,93.89,94.26,2.57,2.86,-0.29,294601959,28.31,91.67,5.0,1.0,86.67,Strong Buy Signal,114.6,93.89,73.17,0.44,61.92,Trending Low,Bearish Trend,24.0,Absent or Weak Trend
2023-08-03,104.6,107.08,104.15,104.72,2450064,0.12,2.93,0.11,2.8,1.46,93.44,93.93,2.84,2.94,-0.09,296729549,30.78,93.33,6.67,1.0,86.67,Strong Buy Signal,114.43,93.44,72.45,0.45,62.51,Trending Low,Bearish Trend,23.93,Absent or Weak Trend
2023-08-02,106.5,107.1,104.09,105.2,4673882,-1.3,3.01,-1.24,2.86,1.5,93.0,93.56,3.07,2.96,0.11,299179613,30.78,95.0,0.0,1.0,95.0,Strong Buy Signal,114.13,93.0,71.87,0.45,62.87,Trending Low,Bearish Trend,23.81,Absent or Weak Trend
2023-08-01,107.06,108.7,105.56,107.44,3249083,0.38,3.14,0.35,2.92,1.57,92.5,93.17,3.26,2.93,0.33,303853495,33.3,96.67,0.0,1.0,96.67,Strong Buy Signal,113.85,92.5,71.16,0.46,64.56,Trending Low,Bearish Trend,23.69,Absent or Weak Trend
2023-07-31,109.67,110.3,107.5,109.11,3211147,-0.56,2.8,-0.51,2.57,1.4,91.91,92.68,3.23,2.85,0.39,307102578,36.72,98.33,0.0,1.0,98.33,Strong Buy Signal,113.54,91.91,70.28,0.47,65.86,Trending Low,Bearish Trend,23.53,Absent or Weak Trend
2023-07-28,111.0,112.95,108.18,108.57,4046283,-2.43,4.77,-2.24,4.39,2.38,91.21,92.13,2.98,2.75,0.23,303891431,37.94,100.0,0.0,1.0,100.0,Strong Buy Signal,113.28,91.21,69.14,0.48,65.64,Trending Low,Bearish Trend,23.31,Absent or Weak Trend
2023-07-27,109.0,112.08,105.75,109.68,12693208,0.68,6.33,0.62,5.77,3.16,90.53,91.57,2.67,2.7,-0.02,307937714,37.24,100.0,0.0,1.0,100.0,Strong Buy Signal,112.93,90.53,68.13,0.49,66.5,Trending Low,Bearish Trend,23.06,Absent or Weak Trend
2023-07-26,102.24,102.58,99.51,100.88,3450974,-1.36,3.07,-1.35,3.04,1.53,89.82,90.96,2.13,2.7,-0.57,295244506,28.53,68.33,0.0,1.0,68.33,Weak Buy Signal,112.45,89.82,67.19,0.5,62.67,Trending Low,Bearish Trend,22.82,Absent or Weak Trend
