Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-17,20.37,20.6,20.26,20.27,623753,-0.1,0.34,-0.49,1.68,0.17,20.63,20.93,-0.15,0.14,-0.3,-45238290,6.66,83.33,8.33,1.0,75.0,Strong Buy Signal,23.63,20.63,17.62,0.29,49.09,Target Volume,Expected Range,10.42,Absent or Weak Trend
2023-07-14,20.64,20.84,20.27,20.37,900825,-0.27,0.57,-1.33,2.8,0.29,20.6,20.95,-0.06,0.22,-0.28,-44614537,6.72,85.0,10.0,1.0,75.0,Strong Buy Signal,23.65,20.6,17.54,0.3,49.33,Target Volume,Expected Range,10.49,Absent or Weak Trend
2023-07-13,20.95,21.15,20.68,20.84,907268,-0.11,0.47,-0.53,2.25,0.23,20.57,20.97,0.05,0.29,-0.24,-43713712,9.14,86.67,11.67,1.0,75.0,Strong Buy Signal,23.66,20.57,17.47,0.3,50.44,Target Volume,Expected Range,10.55,Absent or Weak Trend
2023-07-12,21.39,21.45,20.62,20.89,1844986,-0.5,0.83,-2.39,3.97,0.41,20.53,20.98,0.14,0.35,-0.21,-42806444,9.14,88.33,13.33,1.0,75.0,Strong Buy Signal,23.67,20.53,17.4,0.31,50.56,Target Volume,Expected Range,10.57,Absent or Weak Trend
2023-07-11,21.62,22.17,21.52,21.96,560581,0.34,0.65,1.55,2.96,0.33,20.5,20.98,0.25,0.4,-0.15,-40961458,14.66,90.0,15.0,1.0,75.0,Strong Buy Signal,23.66,20.5,17.34,0.31,53.2,Target Volume,Expected Range,10.6,Absent or Weak Trend
2023-07-10,21.38,21.84,21.24,21.64,943575,0.26,0.6,1.2,2.77,0.3,20.45,20.95,0.28,0.44,-0.16,-41522039,13.08,91.67,16.67,1.0,75.0,Strong Buy Signal,23.61,20.45,17.28,0.31,52.47,Target Volume,Expected Range,10.53,Absent or Weak Trend
2023-07-07,21.72,22.1,21.58,21.63,644593,-0.09,0.52,-0.42,2.4,0.26,20.41,20.92,0.34,0.48,-0.13,-42465614,15.25,93.33,18.33,1.0,75.0,Strong Buy Signal,23.57,20.41,17.24,0.31,52.44,Target Volume,Expected Range,10.49,Absent or Weak Trend
2023-07-06,21.82,22.01,21.53,21.78,713967,-0.04,0.48,-0.18,2.2,0.24,20.36,20.9,0.42,0.51,-0.09,-41821021,14.82,95.0,20.0,1.0,75.0,Strong Buy Signal,23.53,20.36,17.2,0.31,52.82,Target Volume,Expected Range,10.41,Absent or Weak Trend
2023-07-05,22.61,22.68,22.17,22.19,928368,-0.42,0.51,-1.89,2.3,0.25,20.31,20.87,0.5,0.53,-0.03,-41107054,19.0,96.67,21.67,1.0,75.0,Strong Buy Signal,23.49,20.31,17.14,0.31,53.85,Target Volume,Expected Range,10.33,Absent or Weak Trend
2023-07-03,22.44,23.08,22.36,22.85,433975,0.41,0.72,1.79,3.15,0.36,20.25,20.83,0.55,0.54,0.01,-40178686,20.28,98.33,23.33,1.0,75.0,Strong Buy Signal,23.42,20.25,17.07,0.31,55.57,Target Volume,Expected Range,10.18,Absent or Weak Trend
