Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-07,9.98,10.57,9.98,10.32,1195447,0.34,0.59,3.29,5.72,0.29,1
2023-07-06,9.82,9.97,9.7,9.94,932653,0.12,0.27,1.21,2.72,0.14,-1
2023-07-05,9.75,10.07,9.66,9.94,1095322,0.19,0.41,1.91,4.1,0.2,1
2023-07-03,9.67,9.9,9.66,9.83,797828,0.16,0.23,1.63,2.39,0.12,1
2023-06-30,9.56,9.75,9.44,9.67,984558,0.11,0.3,1.14,3.15,0.15,1
2023-06-29,9.58,9.65,9.37,9.39,1227511,-0.19,0.29,-2.02,3.04,0.14,-1
2023-06-28,9.66,9.72,9.5,9.59,753247,-0.07,0.22,-0.73,2.29,0.11,1
2023-06-27,9.06,9.68,9.06,9.57,1264210,0.51,0.62,5.33,6.53,0.31,1
2023-06-26,9.12,9.25,9.01,9.02,1019079,-0.1,0.24,-1.11,2.66,0.12,-1
2023-06-23,9.17,9.26,9.07,9.11,1473742,-0.06,0.19,-0.66,2.03,0.09,-1
2023-06-22,9.36,9.39,9.14,9.39,1560073,0.03,0.25,0.32,2.66,0.12,-1
2023-06-21,9.54,9.61,9.38,9.45,1054905,-0.09,0.23,-0.95,2.43,0.11,-1
2023-06-20,9.65,9.69,9.48,9.57,2065514,-0.08,0.21,-0.84,2.19,0.1,-1
2023-06-16,9.88,9.94,9.69,9.7,1247073,-0.18,0.25,-1.86,2.58,0.12,-1
2023-06-15,9.8,10.0,9.77,9.82,1346387,0.02,0.23,0.2,2.34,0.12,-1
2023-06-14,9.85,10.22,9.74,9.88,1763180,0.03,0.48,0.3,4.86,0.24,1
2023-06-13,9.41,9.95,9.41,9.84,1380540,0.43,0.54,4.37,5.49,0.27,1
2023-06-12,9.42,9.72,9.39,9.41,1638374,-0.01,0.33,-0.11,3.5,0.16,1
2023-06-09,9.23,9.52,9.13,9.36,12781341,0.13,0.39,1.39,4.17,0.19,1
2023-06-08,9.24,9.35,9.11,9.18,1323202,-0.06,0.24,-0.65,2.61,0.12,-1
2023-06-07,9.36,9.54,9.16,9.24,1182261,-0.12,0.38,-1.3,4.11,0.19,-1
2023-06-06,8.96,9.43,8.93,9.32,918354,0.36,0.5,3.86,5.31,0.25,1
2023-06-05,9.16,9.18,8.88,9.02,1056558,-0.14,0.29,-1.55,3.27,0.15,-1
2023-06-02,8.54,9.27,8.47,9.14,4081080,0.6,0.8,6.56,8.75,0.4,1
2023-06-01,8.24,8.46,8.22,8.27,1260103,0.03,0.24,0.36,2.96,0.12,1
2023-05-31,8.32,8.45,8.15,8.23,1559100,-0.09,0.3,-1.09,3.65,0.15,-1
2023-05-30,8.28,8.41,8.11,8.23,1267744,-0.05,0.3,-0.61,3.65,0.15,1
2023-05-26,7.97,8.41,7.97,8.2,2052839,0.23,0.44,2.8,5.37,0.22,1
2023-05-25,7.91,8.11,7.76,7.9,1298340,-0.01,0.34,-0.13,4.37,0.17,1
2023-05-24,7.91,7.95,7.76,7.88,1089629,-0.03,0.2,-0.38,2.47,0.1,-1
2023-05-23,7.92,8.26,7.91,7.96,993266,0.04,0.35,0.5,4.4,0.17,1
2023-05-22,7.91,7.98,7.74,7.92,1364228,0.01,0.24,0.13,3.03,0.12,1
2023-05-19,8.11,8.11,7.82,7.88,1215701,-0.23,0.29,-2.92,3.68,0.14,-1
2023-05-18,8.16,8.23,7.96,8.04,1351447,-0.12,0.27,-1.49,3.36,0.14,-1
2023-05-17,7.88,8.32,7.87,8.19,1122008,0.31,0.45,3.79,5.49,0.23,1
2023-05-16,8.01,8.05,7.78,7.79,844147,-0.22,0.27,-2.82,3.49,0.14,-1
2023-05-15,7.84,8.06,7.76,8.03,903847,0.19,0.3,2.37,3.74,0.15,1
2023-05-12,7.94,8.05,7.78,7.81,736160,-0.13,0.27,-1.66,3.39,0.13,-1
2023-05-11,7.89,7.96,7.78,7.93,812459,0.04,0.18,0.5,2.27,0.09,-1
2023-05-10,8.25,8.25,7.82,8.0,1316081,-0.25,0.43,-3.12,5.37,0.21,-1
2023-05-09,8.06,8.2,7.88,8.15,961931,0.09,0.32,1.1,3.93,0.16,1
2023-05-08,7.85,8.22,7.82,8.1,1428379,0.25,0.4,3.09,4.94,0.2,1
2023-05-05,7.78,8.24,7.75,8.09,1620061,0.31,0.49,3.83,6.12,0.25,1
2023-05-04,8.84,8.85,7.61,7.65,4164945,-1.19,1.24,-15.56,16.21,0.62,-1
2023-05-03,9.35,9.85,9.3,9.54,1303880,0.19,0.54,1.99,5.71,0.27,1
2023-05-02,9.59,9.6,9.15,9.37,1765447,-0.22,0.45,-2.35,4.8,0.22,-1
2023-05-01,9.41,9.61,9.26,9.6,1196812,0.19,0.35,1.98,3.65,0.17,1
2023-04-28,9.0,9.57,9.0,9.49,1034696,0.49,0.57,5.16,6.01,0.29,1
2023-04-27,8.91,9.04,8.87,8.99,916230,0.08,0.17,0.89,1.95,0.09,1
2023-04-26,9.06,9.25,8.88,8.9,688226,-0.16,0.37,-1.8,4.16,0.18,-1
2023-04-25,9.26,9.35,9.05,9.07,681103,-0.19,0.3,-2.09,3.31,0.15,-1
2023-04-24,9.53,9.62,9.31,9.39,474182,-0.14,0.31,-1.49,3.3,0.15,-1
2023-04-21,9.56,9.61,9.42,9.5,522075,-0.06,0.19,-0.63,2.0,0.09,-1
2023-04-20,9.55,9.79,9.47,9.58,653741,0.03,0.32,0.31,3.34,0.16,-1
2023-04-19,9.41,9.77,9.32,9.68,809924,0.27,0.45,2.79,4.6,0.22,1
2023-04-18,9.59,9.59,9.38,9.5,546299,-0.09,0.21,-0.95,2.23,0.11,1
2023-04-17,9.31,9.49,9.26,9.47,539540,0.16,0.23,1.69,2.48,0.12,1
2023-04-14,9.47,9.48,9.18,9.25,632746,-0.22,0.3,-2.38,3.24,0.15,-1
2023-04-13,9.58,9.61,9.3,9.49,682774,-0.09,0.31,-0.95,3.27,0.15,-1
2023-04-12,9.85,9.87,9.27,9.49,906547,-0.36,0.6,-3.79,6.32,0.3,-1
2023-04-11,9.79,10.07,9.7,9.8,960216,0.01,0.37,0.1,3.78,0.19,1
2023-04-10,9.46,9.85,9.46,9.75,1597686,0.29,0.39,2.97,4.0,0.19,1
2023-04-06,9.54,9.56,9.32,9.47,2037651,-0.07,0.25,-0.74,2.59,0.12,1
2023-04-05,9.52,9.59,9.22,9.46,1354681,-0.06,0.36,-0.63,3.83,0.18,-1
2023-04-04,9.63,9.65,9.4,9.59,718140,-0.04,0.25,-0.42,2.65,0.13,1
2023-04-03,9.69,9.76,9.37,9.58,1042658,-0.11,0.39,-1.15,4.07,0.2,-1
2023-03-31,9.52,9.85,9.49,9.84,886564,0.32,0.36,3.25,3.66,0.18,1
2023-03-30,9.55,9.72,9.41,9.42,1338187,-0.13,0.31,-1.38,3.29,0.15,1
2023-03-29,9.25,9.42,9.21,9.38,1598939,0.13,0.21,1.39,2.24,0.1,1
2023-03-28,8.76,9.04,8.74,8.98,1908090,0.22,0.3,2.45,3.34,0.15,1
2023-03-27,8.79,8.83,8.65,8.78,933614,-0.01,0.17,-0.11,1.98,0.09,1
2023-03-24,8.75,8.75,8.39,8.66,1392752,-0.09,0.36,-1.04,4.16,0.18,-1
2023-03-23,9.14,9.16,8.74,8.85,1068620,-0.29,0.42,-3.28,4.75,0.21,-1
2023-03-22,9.42,9.42,9.03,9.05,1007592,-0.37,0.39,-4.09,4.31,0.2,-1
2023-03-21,9.33,9.49,9.26,9.38,910624,0.05,0.23,0.53,2.51,0.12,1
2023-03-20,9.1,9.27,9.06,9.1,1090833,0.0,0.21,0.0,2.25,0.1,-1
2023-03-17,9.24,9.47,9.04,9.11,2634834,-0.13,0.43,-1.43,4.73,0.22,-1
2023-03-16,8.98,9.48,8.94,9.38,1441621,0.4,0.54,4.26,5.7,0.27,1
2023-03-15,9.59,9.59,9.0,9.16,2175372,-0.43,0.59,-4.69,6.44,0.29,-1
2023-03-14,10.53,10.57,9.8,9.89,1552196,-0.64,0.77,-6.47,7.74,0.38,-1
2023-03-13,10.52,10.55,10.18,10.4,1709305,-0.12,0.37,-1.15,3.51,0.18,-1
2023-03-10,11.16,11.22,10.54,10.66,6853761,-0.5,0.68,-4.69,6.38,0.34,-1
2023-03-09,11.75,11.8,11.13,11.14,1141842,-0.61,0.67,-5.48,6.01,0.34,-1
2023-03-08,11.8,11.84,11.22,11.75,2220862,-0.05,0.62,-0.43,5.28,0.31,-1
2023-03-07,11.54,11.8,11.43,11.77,952838,0.23,0.38,1.95,3.19,0.19,1
2023-03-06,11.74,11.86,11.46,11.47,1112468,-0.27,0.4,-2.35,3.49,0.2,-1
2023-03-03,11.51,11.72,11.46,11.58,794715,0.07,0.26,0.6,2.25,0.13,1
2023-03-02,11.17,11.39,10.92,11.37,1059057,0.2,0.48,1.76,4.18,0.24,1
2023-03-01,11.77,11.85,11.2,11.29,1599236,-0.48,0.65,-4.25,5.8,0.33,-1
2023-02-28,11.22,11.9,11.16,11.76,1816777,0.54,0.74,4.59,6.28,0.37,1
2023-02-27,11.2,11.47,10.57,11.24,3045974,0.04,0.9,0.36,7.98,0.45,1
2023-02-24,10.75,11.12,10.64,11.11,948050,0.36,0.48,3.24,4.32,0.24,1
2023-02-23,10.96,11.14,10.76,10.96,793845,0.0,0.38,0.0,3.42,0.19,1
2023-02-22,10.88,10.97,10.53,10.9,1210319,0.02,0.44,0.18,4.02,0.22,-1
2023-02-21,11.02,11.08,10.84,10.92,1004303,-0.1,0.23,-0.92,2.15,0.12,-1
2023-02-17,11.14,11.3,11.01,11.18,775736,0.04,0.29,0.36,2.59,0.15,-1
2023-02-16,11.36,11.46,11.16,11.19,887862,-0.17,0.31,-1.52,2.77,0.16,-1
2023-02-15,11.32,11.67,11.3,11.47,1420013,0.15,0.37,1.31,3.22,0.18,-1
2023-02-14,11.31,11.84,11.23,11.7,1239469,0.39,0.62,3.33,5.26,0.31,1
2023-02-13,11.58,11.82,11.29,11.38,1808971,-0.2,0.53,-1.76,4.66,0.27,-1
2023-02-10,11.42,11.86,11.35,11.6,2187405,0.18,0.51,1.55,4.4,0.25,1
2023-02-09,12.78,13.15,10.92,11.58,4002097,-1.2,2.23,-10.36,19.26,1.12,-1
2023-02-08,13.54,14.03,13.52,13.6,772096,0.06,0.51,0.44,3.75,0.25,-1
2023-02-07,13.66,13.9,13.35,13.63,609699,-0.03,0.55,-0.22,4.04,0.28,-1
2023-02-06,13.57,13.84,13.45,13.75,638492,0.18,0.39,1.31,2.84,0.2,-1
2023-02-03,13.25,14.1,13.24,13.76,826172,0.51,0.86,3.71,6.21,0.43,1
2023-02-02,12.91,13.8,12.86,13.5,888573,0.59,0.94,4.37,6.96,0.47,1
2023-02-01,12.49,12.92,12.38,12.81,572932,0.32,0.54,2.5,4.25,0.27,1
2023-01-31,12.32,12.62,12.26,12.58,344480,0.26,0.36,2.07,2.86,0.18,1
2023-01-30,12.12,12.38,12.01,12.24,334669,0.12,0.37,0.98,3.02,0.19,-1
2023-01-27,12.31,12.44,12.2,12.25,313358,-0.06,0.23,-0.49,1.92,0.12,-1
2023-01-26,12.44,12.51,12.15,12.38,439854,-0.06,0.36,-0.48,2.91,0.18,-1
2023-01-25,12.48,12.53,12.1,12.38,356736,-0.1,0.42,-0.81,3.43,0.21,-1
2023-01-24,12.24,12.61,12.2,12.53,438360,0.29,0.41,2.31,3.27,0.21,1
2023-01-23,12.26,12.31,12.07,12.25,441631,-0.01,0.24,-0.08,1.96,0.12,1
2023-01-20,12.02,12.25,11.81,12.18,525634,0.16,0.44,1.31,3.61,0.22,1
2023-01-19,11.89,11.99,11.71,11.91,377238,0.02,0.28,0.17,2.35,0.14,-1
2023-01-18,12.45,12.56,11.99,12.02,551230,-0.43,0.57,-3.58,4.74,0.29,-1
